Index,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings
10785,399.42800000000005,2.847600000000001,3.0,7.0,123.66000000000001,8.0,3.0,0.0,9.0,3.0,28.0,0.0
14280,392.56500000000034,3.400640000000002,1.0,3.0,66.48,5.0,1.0,2.0,6.0,3.0,27.0,2.0
13821,379.4200000000001,1.333119999999999,3.0,4.0,108.88,5.0,3.0,1.0,8.0,4.0,28.0,1.0
4027,272.307,3.727500000000002,1.0,2.0,41.99,1.0,3.0,0.0,3.0,4.0,21.0,1.0
9636,324.3800000000001,2.439400000000001,1.0,3.0,60.85000000000001,3.0,2.0,1.0,5.0,3.0,24.0,1.0
6229,419.4810000000002,4.130100000000003,1.0,5.0,84.67,7.0,3.0,1.0,7.0,4.0,31.0,1.0
7917,419.4810000000002,4.130100000000003,1.0,5.0,84.67,7.0,3.0,1.0,7.0,4.0,31.0,1.0
6646,470.5330000000002,3.4094000000000015,1.0,7.0,102.07,10.0,5.0,0.0,9.0,5.0,35.0,0.0
2370,544.6360000000001,4.017600000000002,2.0,9.0,134.77,9.0,3.0,1.0,13.0,4.0,36.0,1.0
9568,414.56000000000023,4.341020000000003,1.0,7.0,85.59,6.0,3.0,1.0,9.0,4.0,28.0,1.0
5758,383.4690000000002,4.200100000000003,0.0,6.0,48.0,4.0,3.0,1.0,6.0,4.0,27.0,1.0
3031,255.25199999999998,2.954300000000001,2.0,2.0,57.78,2.0,3.0,0.0,5.0,3.0,19.0,0.0
13008,486.4930000000001,7.030900000000004,2.0,3.0,58.2,4.0,4.0,0.0,7.0,5.0,36.0,1.0
13300,432.52300000000025,6.3205200000000055,2.0,3.0,58.2,4.0,4.0,0.0,4.0,5.0,33.0,1.0
13349,436.4860000000001,6.151200000000004,2.0,3.0,58.2,4.0,4.0,0.0,5.0,5.0,33.0,1.0
13877,436.4860000000001,6.151200000000004,2.0,3.0,58.2,4.0,4.0,0.0,5.0,5.0,33.0,1.0
13903,418.4960000000001,6.012100000000005,2.0,3.0,58.2,4.0,4.0,0.0,4.0,5.0,32.0,1.0
13913,432.5230000000003,6.320520000000005,2.0,3.0,58.2,4.0,4.0,0.0,4.0,5.0,33.0,1.0
14113,436.4860000000001,6.151200000000005,2.0,3.0,58.2,4.0,4.0,0.0,5.0,5.0,33.0,1.0
14126,448.5220000000003,6.020700000000005,2.0,4.0,67.43,5.0,4.0,0.0,5.0,5.0,34.0,1.0
14180,432.52300000000014,6.320520000000005,2.0,3.0,58.2,4.0,4.0,0.0,4.0,5.0,33.0,1.0
14312,436.4860000000001,6.151200000000004,2.0,3.0,58.2,4.0,4.0,0.0,5.0,5.0,33.0,1.0
6024,343.40800000000013,2.1597999999999997,1.0,5.0,75.28999999999999,6.0,3.0,0.0,7.0,3.0,24.0,0.0
4437,374.24100000000004,2.0528999999999993,3.0,5.0,83.37,2.0,2.0,0.0,9.0,2.0,20.0,0.0
4474,295.345,1.2903999999999993,3.0,5.0,83.37,2.0,2.0,0.0,8.0,2.0,19.0,0.0
2746,433.4720000000002,3.471840000000001,3.0,8.0,118.97999999999998,7.0,4.0,0.0,10.0,4.0,32.0,0.0
13841,399.49800000000016,4.169840000000003,2.0,5.0,70.15,5.0,3.0,0.0,6.0,4.0,30.0,1.0
1814,326.783,4.602080000000003,1.0,3.0,66.03,4.0,2.0,1.0,5.0,3.0,23.0,1.0
12947,323.3180000000001,3.771200000000002,0.0,4.0,38.25,3.0,2.0,1.0,7.0,3.0,23.0,1.0
12910,297.152,2.0854999999999997,1.0,3.0,47.28,5.0,2.0,0.0,5.0,2.0,17.0,0.0
4539,422.3840000000001,4.546400000000002,2.0,6.0,84.44000000000001,3.0,4.0,0.0,10.0,4.0,29.0,0.0
2635,393.39900000000017,2.9254000000000007,2.0,6.0,102.68,5.0,3.0,0.0,8.0,4.0,29.0,1.0
831,375.4720000000002,3.6580800000000018,2.0,3.0,76.36,4.0,2.0,2.0,5.0,4.0,28.0,2.0
2073,375.4720000000002,3.6580800000000018,2.0,3.0,76.36,4.0,2.0,2.0,5.0,4.0,28.0,2.0
12124,375.3840000000001,2.917300000000001,1.0,5.0,86.36000000000001,5.0,4.0,0.0,7.0,4.0,28.0,0.0
12685,316.36500000000007,0.10482000000000063,1.0,6.0,116.21,4.0,1.0,1.0,8.0,2.0,23.0,1.0
2280,341.40700000000004,3.714500000000002,2.0,4.0,75.63000000000001,3.0,1.0,1.0,5.0,4.0,25.0,3.0
7582,453.6410000000003,4.401000000000004,0.0,8.0,62.970000000000006,6.0,4.0,1.0,9.0,5.0,31.0,1.0
5939,362.4340000000001,0.3152000000000022,2.0,5.0,119.00999999999999,6.0,2.0,1.0,9.0,3.0,26.0,1.0
7109,376.4610000000001,0.7053000000000019,2.0,5.0,119.00999999999999,7.0,2.0,1.0,9.0,3.0,27.0,1.0
476,358.2060000000001,3.708000000000002,0.0,6.0,69.63,4.0,3.0,0.0,9.0,3.0,22.0,0.0
11292,317.34099999999995,1.9983999999999997,2.0,5.0,88.77,9.0,2.0,0.0,6.0,2.0,23.0,0.0
3376,326.312,2.8527000000000005,2.0,7.0,127.9,4.0,2.0,0.0,8.0,2.0,24.0,0.0
9619,413.52800000000013,3.674920000000003,1.0,7.0,92.82999999999998,7.0,3.0,0.0,9.0,3.0,28.0,0.0
352,269.22999999999996,1.8673,1.0,5.0,67.93,2.0,2.0,0.0,8.0,2.0,19.0,0.0
7962,300.38300000000004,3.144120000000002,0.0,3.0,51.96,3.0,3.0,0.0,5.0,3.0,21.0,0.0
2337,300.33900000000006,1.7550399999999997,2.0,4.0,71.34,1.0,2.0,1.0,6.0,3.0,21.0,1.0
7489,309.35,3.0313000000000008,0.0,6.0,68.88,3.0,3.0,0.0,6.0,4.0,22.0,1.0
14968,668.7860000000003,8.077200000000012,6.0,7.0,130.61,12.0,6.0,0.0,7.0,6.0,50.0,0.0
303,413.49900000000014,3.5257400000000017,1.0,6.0,90.28999999999999,7.0,3.0,0.0,8.0,3.0,29.0,0.0
1452,338.3850000000001,1.2987999999999997,1.0,5.0,86.63,6.0,2.0,0.0,8.0,2.0,23.0,0.0
3372,342.35100000000017,2.671000000000001,0.0,6.0,81.91,5.0,2.0,1.0,7.0,3.0,25.0,1.0
6433,362.4550000000001,2.1037999999999997,1.0,6.0,84.42,8.0,2.0,0.0,8.0,2.0,25.0,0.0
14236,491.61700000000036,3.9566000000000034,2.0,7.0,96.45,8.0,3.0,2.0,9.0,5.0,35.0,2.0
7522,489.5320000000002,3.6898000000000017,1.0,7.0,111.72000000000001,9.0,4.0,0.0,10.0,5.0,36.0,1.0
556,298.29800000000006,1.9272999999999996,2.0,5.0,80.15,3.0,2.0,0.0,6.0,3.0,22.0,1.0
681,236.22299999999998,0.9973999999999998,1.0,5.0,76.74000000000001,1.0,1.0,0.0,5.0,2.0,17.0,1.0
7015,389.4810000000002,3.0858000000000017,1.0,7.0,99.0,7.0,2.0,1.0,9.0,3.0,27.0,1.0
11069,262.31199999999995,0.1391,0.0,6.0,76.03999999999999,2.0,0.0,0.0,8.0,2.0,16.0,2.0
3324,498.9450000000003,4.036400000000003,1.0,7.0,122.51000000000002,5.0,3.0,1.0,13.0,4.0,32.0,1.0
6592,363.46100000000007,3.5977200000000025,1.0,5.0,69.38,3.0,2.0,2.0,5.0,4.0,27.0,2.0
5982,381.47600000000017,3.820020000000002,2.0,3.0,70.67,5.0,2.0,1.0,6.0,3.0,28.0,1.0
9575,351.4500000000001,3.7297400000000023,2.0,2.0,61.440000000000005,3.0,2.0,1.0,5.0,3.0,26.0,1.0
4554,240.283,3.210700000000002,0.0,3.0,34.14,1.0,2.0,0.0,3.0,3.0,17.0,1.0
1376,411.48700000000014,3.179900000000001,2.0,6.0,98.14000000000001,7.0,3.0,0.0,9.0,3.0,29.0,0.0
6788,369.45000000000005,2.7884,2.0,6.0,95.05999999999999,7.0,3.0,0.0,8.0,3.0,26.0,0.0
7663,355.42300000000006,2.3983,2.0,6.0,95.05999999999999,6.0,3.0,0.0,8.0,3.0,25.0,0.0
8632,388.8800000000001,3.874900000000002,1.0,5.0,69.03999999999999,6.0,3.0,0.0,8.0,3.0,26.0,0.0
12129,353.451,3.00654,2.0,5.0,85.83,5.0,3.0,0.0,7.0,3.0,25.0,0.0
12489,433.51500000000016,1.8688999999999996,2.0,7.0,129.2,7.0,3.0,0.0,11.0,3.0,29.0,0.0
11523,254.24899999999997,2.4302,2.0,5.0,72.06,2.0,3.0,0.0,6.0,4.0,19.0,1.0
1343,221.32899999999998,3.130040000000001,1.0,4.0,37.81,3.0,2.0,0.0,4.0,2.0,15.0,0.0
8313,251.311,2.1403,2.0,5.0,75.11,5.0,2.0,0.0,6.0,2.0,17.0,0.0
9004,223.30100000000002,1.6578999999999997,2.0,5.0,58.04,4.0,2.0,0.0,5.0,2.0,15.0,0.0
6188,280.283,2.1180000000000003,1.0,4.0,72.2,3.0,3.0,0.0,5.0,3.0,21.0,0.0
4655,407.53900000000027,4.9032000000000036,2.0,4.0,67.00999999999999,7.0,3.0,1.0,6.0,4.0,29.0,1.0
9337,445.58500000000026,2.8589,1.0,6.0,88.6,7.0,1.0,3.0,8.0,4.0,31.0,3.0
9184,335.3560000000001,1.3438999999999999,2.0,5.0,94.09000000000002,7.0,1.0,1.0,7.0,3.0,24.0,2.0
9338,386.45200000000017,1.6877399999999994,2.0,6.0,88.85000000000001,4.0,2.0,1.0,8.0,4.0,28.0,2.0
2548,240.262,2.800200000000001,0.0,4.0,44.24,2.0,3.0,0.0,4.0,3.0,18.0,0.0
2600,210.23999999999998,1.9473999999999998,2.0,4.0,77.82,0.0,3.0,0.0,4.0,3.0,16.0,0.0
5005,252.32099999999997,2.7396200000000004,1.0,4.0,55.040000000000006,1.0,3.0,0.0,4.0,3.0,19.0,0.0
2740,380.4730000000003,4.604320000000003,1.0,7.0,73.07000000000001,3.0,4.0,0.0,7.0,5.0,27.0,1.0
2765,408.52700000000027,5.419300000000004,1.0,7.0,73.07000000000001,4.0,4.0,0.0,7.0,5.0,29.0,1.0
1462,305.2960000000001,3.3747000000000025,0.0,3.0,42.68,4.0,1.0,1.0,7.0,2.0,21.0,1.0
15052,394.4230000000002,4.007900000000003,0.0,6.0,63.22000000000001,2.0,2.0,0.0,6.0,5.0,29.0,3.0
9591,317.34800000000007,4.383620000000002,2.0,3.0,70.92,3.0,4.0,0.0,5.0,4.0,24.0,0.0
7323,304.3710000000001,2.8202000000000016,1.0,6.0,82.28,1.0,2.0,0.0,6.0,3.0,21.0,1.0
2925,332.30300000000005,2.5745000000000005,0.0,5.0,69.15,3.0,2.0,0.0,9.0,2.0,22.0,0.0
3505,298.314,2.79312,0.0,4.0,59.92,3.0,2.0,0.0,7.0,2.0,20.0,0.0
4230,445.4630000000002,3.249500000000001,1.0,6.0,98.25,8.0,2.0,0.0,11.0,2.0,30.0,0.0
12956,215.256,2.1244999999999994,1.0,4.0,61.03,3.0,2.0,0.0,4.0,2.0,16.0,0.0
593,331.41200000000015,2.671400000000001,1.0,4.0,72.47,7.0,1.0,1.0,5.0,2.0,24.0,1.0
5358,363.4100000000002,2.126199999999999,1.0,6.0,90.93,8.0,1.0,1.0,7.0,2.0,26.0,1.0
4768,423.47200000000015,3.4650000000000025,1.0,4.0,79.37,4.0,3.0,1.0,6.0,5.0,32.0,2.0
11329,640.7480000000002,6.377670000000008,2.0,5.0,75.19,14.0,2.0,2.0,9.0,5.0,44.0,3.0
6490,415.8330000000001,4.8465000000000025,3.0,5.0,101.83000000000001,6.0,3.0,0.0,9.0,3.0,29.0,0.0
9064,415.8330000000001,4.8465000000000025,3.0,5.0,101.83000000000001,6.0,3.0,0.0,9.0,3.0,29.0,0.0
11957,497.5150000000002,2.7990000000000004,4.0,8.0,150.12,7.0,3.0,0.0,11.0,5.0,37.0,2.0
12215,486.9630000000002,3.544200000000002,4.0,6.0,106.98,6.0,3.0,0.0,9.0,5.0,35.0,2.0
3561,315.3290000000001,1.7769,0.0,6.0,83.31000000000002,6.0,2.0,0.0,7.0,2.0,23.0,0.0
2823,276.133,3.3835200000000016,0.0,2.0,29.96,2.0,2.0,0.0,3.0,2.0,16.0,0.0
12705,413.3510000000001,5.128900000000003,0.0,4.0,50.27,3.0,3.0,1.0,8.0,4.0,25.0,1.0
15110,364.4410000000001,4.491000000000003,2.0,4.0,58.92,7.0,3.0,0.0,4.0,3.0,27.0,0.0
3150,402.4500000000001,4.861940000000004,2.0,4.0,92.47,5.0,3.0,1.0,6.0,4.0,30.0,1.0
2549,297.339,3.450000000000001,1.0,5.0,68.02000000000001,4.0,3.0,0.0,6.0,3.0,21.0,0.0
2309,340.338,4.2954000000000025,0.0,4.0,63.410000000000004,2.0,4.0,0.0,5.0,5.0,26.0,1.0
11450,468.6670000000005,5.053320000000005,1.0,6.0,57.7,6.0,2.0,2.0,7.0,5.0,33.0,3.0
13151,454.64000000000016,4.399220000000005,2.0,6.0,68.7,5.0,2.0,2.0,7.0,5.0,32.0,3.0
7418,316.361,1.7954999999999999,2.0,6.0,114.02000000000001,2.0,1.0,1.0,7.0,3.0,23.0,2.0
4430,285.332,3.3459200000000013,1.0,5.0,75.4,3.0,3.0,0.0,7.0,3.0,20.0,0.0
11508,377.51300000000026,4.901500000000004,1.0,4.0,45.230000000000004,5.0,3.0,1.0,5.0,4.0,27.0,1.0
11597,437.5650000000001,4.918700000000004,1.0,6.0,63.69,7.0,3.0,1.0,7.0,4.0,31.0,1.0
4620,359.39700000000005,2.721400000000001,0.0,5.0,55.84,5.0,1.0,1.0,6.0,3.0,26.0,2.0
12550,353.374,2.5216400000000005,0.0,5.0,72.91,6.0,2.0,0.0,6.0,3.0,26.0,1.0
9091,355.46000000000015,1.5954999999999997,3.0,6.0,104.31,9.0,1.0,1.0,8.0,2.0,24.0,1.0
14702,240.29899999999995,1.0028,2.0,4.0,74.60000000000001,2.0,0.0,1.0,4.0,1.0,17.0,1.0
14794,374.48000000000013,6.086000000000006,0.0,3.0,35.53,3.0,2.0,0.0,3.0,4.0,28.0,2.0
14818,306.3610000000001,4.577300000000004,0.0,3.0,35.53,1.0,2.0,0.0,3.0,4.0,23.0,2.0
15044,502.6510000000004,7.990500000000008,1.0,5.0,64.99000000000001,8.0,2.0,0.0,5.0,4.0,37.0,2.0
15045,434.53200000000027,6.264000000000006,1.0,5.0,64.99000000000001,5.0,2.0,0.0,5.0,4.0,32.0,2.0
15046,486.6520000000004,8.284900000000006,0.0,4.0,44.760000000000005,8.0,2.0,0.0,4.0,4.0,36.0,2.0
15047,418.53300000000024,6.558400000000007,0.0,4.0,44.760000000000005,5.0,2.0,0.0,4.0,4.0,31.0,2.0
15049,336.3870000000001,4.585900000000005,0.0,4.0,44.760000000000005,2.0,2.0,0.0,4.0,4.0,25.0,2.0
15088,434.5320000000002,6.103200000000006,0.0,5.0,53.99000000000001,5.0,2.0,0.0,5.0,4.0,32.0,2.0
15089,366.4130000000001,4.5945000000000045,0.0,5.0,53.99000000000001,3.0,2.0,0.0,5.0,4.0,27.0,2.0
13609,422.5330000000003,2.4717200000000004,2.0,7.0,82.62,4.0,2.0,3.0,8.0,5.0,31.0,3.0
13635,436.5600000000003,2.860220000000001,2.0,7.0,82.62,4.0,2.0,3.0,8.0,5.0,32.0,3.0
13854,440.52300000000025,2.6108200000000004,2.0,7.0,82.62,4.0,2.0,3.0,9.0,5.0,32.0,3.0
7024,426.5190000000001,5.328800000000004,0.0,7.0,64.80000000000001,7.0,4.0,0.0,8.0,4.0,29.0,0.0
6880,307.375,2.3963,1.0,6.0,85.09,7.0,2.0,0.0,7.0,2.0,21.0,0.0
14784,352.38600000000014,4.231300000000003,2.0,5.0,75.99000000000001,5.0,2.0,0.0,5.0,3.0,26.0,1.0
14836,484.6770000000004,5.591600000000006,2.0,4.0,91.66999999999999,1.0,0.0,4.0,5.0,5.0,35.0,5.0
14839,500.6760000000004,4.562400000000004,3.0,5.0,111.9,1.0,0.0,4.0,6.0,5.0,36.0,5.0
12653,263.36599999999993,2.43428,1.0,4.0,56.13,3.0,1.0,1.0,5.0,2.0,18.0,1.0
5562,459.56800000000027,3.494900000000002,1.0,5.0,96.02000000000001,9.0,2.0,1.0,9.0,3.0,32.0,1.0
2571,236.658,2.258,1.0,3.0,55.13,3.0,2.0,0.0,5.0,2.0,16.0,0.0
127,315.44200000000006,3.974540000000003,1.0,3.0,46.92,4.0,2.0,0.0,5.0,3.0,22.0,1.0
6450,313.317,1.0125199999999999,1.0,7.0,99.00000000000001,3.0,2.0,0.0,8.0,3.0,23.0,1.0
7655,340.1700000000001,2.4417999999999997,1.0,6.0,81.93,2.0,2.0,0.0,9.0,3.0,22.0,1.0
12263,357.3700000000002,1.7083999999999997,1.0,8.0,100.39000000000001,6.0,2.0,0.0,9.0,3.0,26.0,1.0
13634,461.9960000000002,4.502900000000004,1.0,5.0,79.37,5.0,3.0,1.0,9.0,4.0,30.0,1.0
4106,365.458,4.246600000000003,1.0,5.0,64.11,6.0,3.0,1.0,6.0,4.0,26.0,1.0
4109,351.43100000000004,3.9436000000000027,2.0,5.0,75.11,5.0,3.0,1.0,6.0,4.0,25.0,1.0
4111,369.87700000000007,4.891400000000003,1.0,4.0,54.88,5.0,3.0,1.0,6.0,4.0,25.0,1.0
12535,296.37400000000014,2.7097000000000007,1.0,3.0,53.92,3.0,3.0,1.0,5.0,4.0,22.0,1.0
15104,336.3670000000001,3.096300000000001,0.0,4.0,40.8,2.0,3.0,0.0,5.0,5.0,25.0,2.0
4659,269.348,4.061980000000003,1.0,4.0,61.85,6.0,2.0,0.0,4.0,2.0,20.0,0.0
10610,422.4660000000001,3.421520000000001,1.0,7.0,99.25,6.0,4.0,0.0,9.0,4.0,30.0,0.0
5947,395.5500000000001,4.011100000000003,0.0,7.0,66.24000000000001,9.0,2.0,1.0,8.0,3.0,26.0,1.0
8534,484.6650000000004,3.292600000000002,0.0,6.0,83.99,8.0,2.0,2.0,10.0,4.0,31.0,2.0
7168,296.34799999999996,1.5592,2.0,5.0,84.5,3.0,1.0,0.0,7.0,2.0,20.0,1.0
3925,286.338,3.5729000000000015,1.0,4.0,75.59,2.0,3.0,0.0,4.0,3.0,22.0,0.0
2893,303.3210000000001,2.4102200000000007,0.0,4.0,64.85,2.0,3.0,0.0,5.0,4.0,23.0,1.0
8068,465.6020000000005,3.1454000000000013,1.0,7.0,92.16999999999999,7.0,3.0,2.0,9.0,5.0,34.0,2.0
8241,465.6020000000004,3.1454000000000013,1.0,7.0,92.16999999999999,7.0,3.0,2.0,9.0,5.0,34.0,2.0
8671,479.62900000000036,3.5355000000000016,1.0,7.0,92.16999999999999,8.0,3.0,2.0,9.0,5.0,35.0,2.0
13351,276.33599999999996,1.623999999999999,2.0,3.0,67.43,7.0,1.0,1.0,5.0,2.0,20.0,1.0
10530,341.4110000000001,2.8381000000000007,1.0,5.0,65.38,4.0,2.0,1.0,6.0,4.0,25.0,2.0
12998,353.4220000000001,3.398600000000002,0.0,4.0,79.24000000000001,2.0,2.0,1.0,6.0,3.0,26.0,1.0
13212,384.52000000000015,5.018320000000005,0.0,3.0,55.45,2.0,2.0,1.0,5.0,3.0,28.0,1.0
13532,396.40900000000005,4.739620000000005,0.0,3.0,55.45,2.0,2.0,1.0,8.0,3.0,28.0,1.0
13898,342.43900000000014,4.029240000000003,0.0,3.0,55.45,2.0,2.0,1.0,5.0,3.0,25.0,1.0
13999,358.4380000000002,3.0947400000000016,0.0,4.0,64.68,4.0,2.0,1.0,6.0,3.0,26.0,1.0
14023,362.4010000000002,2.9254200000000017,0.0,4.0,64.68,4.0,2.0,1.0,7.0,3.0,26.0,1.0
14142,328.41200000000003,3.7208200000000025,0.0,3.0,55.45,2.0,2.0,1.0,5.0,3.0,24.0,1.0
14143,346.40200000000004,3.8599200000000033,0.0,3.0,55.45,2.0,2.0,1.0,6.0,3.0,25.0,1.0
14157,344.4110000000002,2.786320000000001,0.0,4.0,64.68,4.0,2.0,1.0,6.0,3.0,25.0,1.0
14175,342.4390000000001,3.7959200000000033,0.0,3.0,55.45,3.0,2.0,1.0,5.0,3.0,25.0,1.0
4987,497.6200000000003,4.437280000000004,0.0,6.0,79.24000000000001,6.0,4.0,0.0,7.0,4.0,36.0,0.0
8077,278.396,1.9300999999999997,1.0,4.0,33.730000000000004,6.0,1.0,1.0,4.0,2.0,20.0,1.0
13910,380.2790000000001,3.5695000000000014,2.0,4.0,70.15,4.0,2.0,1.0,8.0,3.0,25.0,1.0
9860,247.29799999999997,2.1687000000000003,2.0,3.0,71.09,5.0,1.0,1.0,5.0,2.0,18.0,1.0
15041,370.4010000000001,3.076900000000002,3.0,6.0,96.22000000000001,4.0,2.0,0.0,6.0,3.0,27.0,1.0
658,253.34900000000005,3.444700000000002,0.0,3.0,28.490000000000002,2.0,2.0,1.0,3.0,3.0,19.0,1.0
12055,236.296,2.9280300000000006,1.0,4.0,51.05,3.0,2.0,0.0,5.0,2.0,16.0,0.0
678,481.6430000000001,4.7222900000000045,0.0,6.0,56.47,8.0,3.0,1.0,8.0,4.0,33.0,1.0
461,374.4440000000001,4.033020000000002,2.0,4.0,71.94,6.0,4.0,0.0,6.0,4.0,28.0,0.0
2978,416.5250000000001,5.022100000000004,2.0,4.0,71.94,6.0,4.0,0.0,6.0,4.0,31.0,0.0
10520,339.43900000000014,3.536220000000003,1.0,5.0,64.11,7.0,2.0,0.0,5.0,3.0,25.0,1.0
5944,380.40000000000015,3.1560000000000015,2.0,5.0,97.63,5.0,3.0,0.0,7.0,3.0,28.0,0.0
7030,392.4110000000002,3.3221000000000016,2.0,5.0,97.63000000000001,6.0,3.0,0.0,7.0,3.0,29.0,0.0
7140,387.41700000000014,1.6267,3.0,5.0,131.48999999999998,4.0,3.0,0.0,9.0,3.0,27.0,0.0
9874,397.50400000000013,3.3447000000000022,1.0,6.0,81.93000000000002,8.0,3.0,0.0,8.0,3.0,28.0,0.0
3200,266.79699999999997,3.7369800000000026,0.0,3.0,36.68,1.0,1.0,0.0,4.0,2.0,17.0,1.0
5903,341.396,2.4017,1.0,6.0,81.92999999999999,6.0,3.0,0.0,8.0,3.0,24.0,0.0
4896,427.46000000000015,3.3032000000000004,3.0,3.0,100.43,6.0,4.0,0.0,7.0,4.0,32.0,0.0
11919,424.5260000000002,3.249200000000002,2.0,4.0,107.08000000000001,5.0,3.0,1.0,8.0,4.0,30.0,1.0
11418,340.45100000000014,2.7947000000000015,1.0,6.0,76.13,4.0,2.0,0.0,8.0,3.0,21.0,1.0
4325,480.50800000000015,4.0793000000000035,1.0,5.0,70.08000000000001,5.0,3.0,1.0,10.0,4.0,33.0,1.0
10160,448.5480000000001,4.609600000000004,1.0,7.0,78.27,6.0,3.0,0.0,8.0,5.0,32.0,2.0
8472,374.5100000000003,3.290020000000002,0.0,5.0,60.25,7.0,2.0,1.0,7.0,3.0,26.0,1.0
4869,462.55600000000004,4.225500000000003,1.0,7.0,86.11000000000001,7.0,4.0,0.0,9.0,5.0,32.0,1.0
7735,431.4700000000003,2.977520000000001,0.0,8.0,107.9,4.0,3.0,1.0,10.0,5.0,30.0,2.0
7105,381.4280000000001,3.518600000000002,1.0,4.0,83.91,6.0,2.0,1.0,6.0,3.0,28.0,1.0
8463,420.51700000000034,2.6858400000000007,1.0,5.0,96.77,4.0,3.0,2.0,8.0,5.0,31.0,2.0
5725,349.7670000000001,0.9392,1.0,5.0,89.53999999999999,4.0,1.0,1.0,9.0,2.0,22.0,1.0
10397,387.5300000000002,4.271720000000003,0.0,6.0,57.010000000000005,7.0,3.0,0.0,7.0,3.0,26.0,0.0
2388,416.55300000000005,4.330900000000003,1.0,8.0,80.38000000000001,9.0,3.0,0.0,9.0,3.0,27.0,0.0
1800,437.49600000000015,2.933720000000001,2.0,4.0,70.67000000000002,4.0,2.0,2.0,8.0,5.0,31.0,3.0
633,654.151,5.440600000000005,2.0,6.0,99.17999999999998,9.0,3.0,0.0,13.0,4.0,44.0,1.0
636,637.6960000000004,4.926300000000005,2.0,6.0,99.18,9.0,3.0,0.0,13.0,4.0,44.0,1.0
637,637.6960000000004,4.926300000000005,2.0,6.0,99.18,9.0,3.0,0.0,13.0,4.0,44.0,1.0
641,620.5990000000002,5.075200000000004,2.0,6.0,99.18,9.0,3.0,0.0,11.0,4.0,41.0,1.0
642,655.0440000000002,5.7286000000000055,2.0,6.0,99.18,9.0,3.0,0.0,12.0,4.0,42.0,1.0
702,637.6960000000004,4.926300000000005,2.0,6.0,99.18,9.0,3.0,0.0,13.0,4.0,44.0,1.0
3253,446.3150000000001,4.3587000000000025,2.0,4.0,83.96000000000001,4.0,4.0,0.0,9.0,4.0,29.0,0.0
6536,326.4400000000002,3.8261400000000023,1.0,2.0,53.17,3.0,2.0,1.0,4.0,3.0,24.0,1.0
7366,340.4670000000002,4.2162400000000035,1.0,2.0,53.17,4.0,2.0,1.0,4.0,3.0,25.0,1.0
10485,334.44100000000026,2.6224000000000007,1.0,3.0,70.24000000000001,4.0,2.0,1.0,6.0,3.0,23.0,1.0
2410,332.3590000000001,3.6749000000000027,3.0,5.0,85.41000000000001,4.0,3.0,0.0,5.0,3.0,25.0,0.0
11780,417.55700000000024,5.331340000000004,1.0,5.0,64.86000000000001,5.0,3.0,2.0,6.0,5.0,31.0,2.0
11801,402.4690000000002,5.659600000000004,2.0,3.0,58.2,5.0,3.0,0.0,5.0,4.0,30.0,1.0
7206,361.4050000000001,2.2614400000000003,2.0,5.0,96.69,4.0,4.0,0.0,7.0,4.0,27.0,0.0
5423,477.0150000000002,4.104220000000002,2.0,7.0,101.80000000000001,9.0,3.0,0.0,11.0,3.0,31.0,0.0
5448,430.55900000000014,3.129500000000001,2.0,7.0,101.80000000000001,8.0,3.0,0.0,10.0,3.0,29.0,0.0
14105,418.4130000000003,3.4952000000000014,1.0,8.0,138.19,5.0,3.0,0.0,10.0,4.0,31.0,1.0
14128,402.4510000000002,3.245420000000001,1.0,6.0,88.33000000000001,4.0,3.0,0.0,9.0,4.0,28.0,1.0
14195,391.40600000000023,3.7261000000000015,1.0,6.0,95.05000000000001,4.0,3.0,0.0,8.0,4.0,29.0,1.0
14367,373.4160000000002,3.5870000000000024,1.0,6.0,95.05000000000001,4.0,3.0,0.0,7.0,4.0,28.0,1.0
14374,384.4610000000002,3.106320000000002,1.0,6.0,88.33000000000001,4.0,3.0,0.0,8.0,4.0,27.0,1.0
14412,463.49400000000026,3.612800000000002,1.0,9.0,122.74,7.0,3.0,0.0,10.0,4.0,34.0,1.0
9154,459.56800000000027,1.5973200000000003,2.0,5.0,104.81000000000002,10.0,2.0,1.0,9.0,3.0,32.0,1.0
3614,403.37200000000007,2.4053000000000004,0.0,9.0,142.5,6.0,3.0,0.0,11.0,3.0,28.0,0.0
5711,397.34300000000013,1.3970000000000002,0.0,7.0,127.13,6.0,2.0,0.0,10.0,3.0,29.0,1.0
2405,461.54300000000023,5.127100000000004,2.0,7.0,103.52000000000001,5.0,4.0,1.0,8.0,6.0,33.0,2.0
14946,498.6160000000003,4.001200000000003,1.0,7.0,91.29000000000002,2.0,0.0,3.0,7.0,6.0,36.0,6.0
14949,498.6160000000003,4.001200000000003,1.0,7.0,91.29000000000002,2.0,0.0,3.0,7.0,6.0,36.0,6.0
9186,261.394,3.9250900000000026,1.0,2.0,33.61,2.0,2.0,0.0,4.0,2.0,18.0,0.0
5864,366.4020000000001,2.4728000000000003,2.0,6.0,100.88,5.0,4.0,0.0,8.0,4.0,26.0,0.0
2457,328.29900000000004,2.1231999999999998,1.0,4.0,79.62,4.0,2.0,1.0,7.0,3.0,24.0,1.0
